kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
a.1.sm_52.ptx 155 : 1024 9248 0 0 0 0 0 0 0 
a.1.sm_52.ptx 154 : 1024 6400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 153 : 1024 10624 0 0 0 0 0 0 0 
a.1.sm_52.ptx 150 : 256000 1284032 0 0 0 0 0 0 0 
a.1.sm_52.ptx 149 : 256000 1793568 0 0 0 0 0 0 0 
a.1.sm_52.ptx 57 : 1024 6912 0 0 0 0 0 0 0 
a.1.sm_52.ptx 56 : 1024 7168 0 0 0 0 0 0 0 
a.1.sm_52.ptx 55 : 1024 9984 0 0 0 0 0 0 0 
a.1.sm_52.ptx 53 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 52 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 51 : 1024 5120 0 0 0 0 0 0 0 
a.1.sm_52.ptx 48 : 1024 5120 0 0 0 0 0 0 0 
a.1.sm_52.ptx 47 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 46 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 45 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 44 : 1024 7424 0 0 0 0 0 0 0 
a.1.sm_52.ptx 43 : 1024 11392 0 0 0 0 0 0 0 
a.1.sm_52.ptx 42 : 1024 8960 0 0 0 0 0 0 0 
a.1.sm_52.ptx 58 : 1024 6400 0 0 0 0 0 0 0 
a.1.sm_52.ptx 117 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 156 : 1024 9216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 29 : 1024 4864 0 0 0 0 0 0 0 
a.1.sm_52.ptx 147 : 256000 2863040 0 0 0 0 0 0 0 
a.1.sm_52.ptx 59 : 1024 5632 0 0 0 0 0 0 0 
a.1.sm_52.ptx 118 : 1024 0 0 0 0 0 0 0 0 
a.1.sm_52.ptx 157 : 1024 16160 0 0 0 128 32 0 0 
a.1.sm_52.ptx 30 : 1024 11392 0 0 0 0 0 0 0 
a.1.sm_52.ptx 148 : 256000 2966464 0 0 0 0 0 0 0 
a.1.sm_52.ptx 31 : 1024 15616 0 0 0 0 0 0 0 
a.1.sm_52.ptx 32 : 1024 16384 0 0 0 0 0 0 0 
a.1.sm_52.ptx 160 : 1024 5120 0 0 0 0 0 0 0 
a.1.sm_52.ptx 33 : 1024 16384 0 0 0 0 0 0 0 
a.1.sm_52.ptx 34 : 1024 16000 0 0 0 0 0 0 0 
a.1.sm_52.ptx 35 : 1024 11008 0 0 0 0 0 0 0 
a.1.sm_52.ptx 36 : 1024 5760 0 0 0 0 0 0 0 
a.1.sm_52.ptx 37 : 1024 6016 0 0 0 0 0 0 0 
a.1.sm_52.ptx 38 : 1024 5632 0 0 0 0 0 0 0 
a.1.sm_52.ptx 39 : 1024 11392 0 0 0 0 0 0 0 
a.1.sm_52.ptx 40 : 1024 7680 0 0 0 0 0 0 0 
a.1.sm_52.ptx 70 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 129 : 256000 2309088 0 0 0 0 0 0 0 
a.1.sm_52.ptx 41 : 1024 8320 0 0 0 0 0 0 0 
a.1.sm_52.ptx 71 : 1024 5248 0 0 0 0 0 0 0 
a.1.sm_52.ptx 130 : 256000 78945728 25216 0 0 16000 8000 0 0 
a.1.sm_52.ptx 120 : 1024 6144 0 0 0 0 0 0 0 
a.1.sm_52.ptx 121 : 1024 11264 0 0 0 0 0 0 0 
a.1.sm_52.ptx 122 : 1024 9216 0 0 0 0 0 0 0 
a.1.sm_52.ptx 123 : 1024 9344 0 0 0 0 0 0 0 
a.1.sm_52.ptx 124 : 1024 10496 0 0 0 0 0 0 0 
a.1.sm_52.ptx 125 : 1024 6528 0 0 0 0 0 0 0 
a.1.sm_52.ptx 128 : 256000 2304352 0 0 0 0 0 0 0 
a.1.sm_52.ptx 131 : 256000 45560128 128000 0 0 16000 8000 0 0 
a.1.sm_52.ptx 132 : 256000 2583968 0 0 0 0 0 0 0 
a.1.sm_52.ptx 133 : 256000 1583936 0 0 0 0 0 0 0 
a.1.sm_52.ptx 134 : 256000 2320832 0 0 0 0 0 0 0 
a.1.sm_52.ptx 135 : 256000 79147296 25440 0 0 16000 8000 0 0 
a.1.sm_52.ptx 136 : 256000 8691392 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 137 : 256000 2599072 0 0 0 0 0 0 0 
a.1.sm_52.ptx 138 : 256000 2375072 0 0 0 0 0 0 0 
a.1.sm_52.ptx 139 : 256000 78817024 24704 0 0 16000 8000 0 0 
a.1.sm_52.ptx 140 : 256000 9201632 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 141 : 256000 2601888 0 0 0 0 0 0 0 
a.1.sm_52.ptx 142 : 256000 2398048 0 0 0 0 0 0 0 
a.1.sm_52.ptx 143 : 256000 78586432 24288 0 0 16000 8000 0 0 
a.1.sm_52.ptx 144 : 256000 9229280 0 0 0 16000 8000 0 0 
a.1.sm_52.ptx 145 : 256000 2965280 0 0 0 0 0 0 0 
a.1.sm_52.ptx 146 : 256000 2750240 0 0 0 0 0 0 0 
